City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,margate,51.3813,1.3862,279.75,81,100,4.02,GB,1670050948
182,gweta,-20.1833,25.2333,303.77,20,5,3.72,BW,1670050948
183,cherskiy,68.75,161.3,245.55,97,12,2.62,RU,1670050948
184,pisco,-13.7,-76.2167,290.18,88,3,0.0,PE,1670050949
185,pacific grove,36.6177,-121.9166,283.2,84,100,1.49,US,1670050949
186,ola,59.5833,151.2833,264.32,68,100,3.64,RU,1670050949
187,ahipara,-35.1667,173.1667,288.59,69,1,3.56,NZ,1670050950
188,volot,57.9278,30.7025,267.66,91,100,3.0,RU,1670050950
189,sistranda,63.7256,8.834,272.13,63,10,2.41,NO,1670050950
190,kodinar,20.7903,70.7031,301.78,35,98,1.98,IN,1670050951
191,cidreira,-30.1811,-50.2056,295.21,96,99,1.25,BR,1670050951
192,kasongo,-4.45,26.6667,296.46,78,100,1.29,CD,1670050951
193,iaciara,-14.0958,-46.6317,293.02,96,100,0.33,BR,1670050951
194,surt,31.2089,16.5887,289.36,53,98,7.61,LY,1670050951
195,kirakira,-10.4544,161.9205,299.04,84,100,0.99,SB,1670050952
196,chuy,-33.6971,-53.4616,291.11,85,100,2.06,UY,1670050952
197,butterworth,5.3991,100.3638,303.17,79,20,2.06,MY,1670050952
198,enshi,30.3,109.4833,282.02,72,96,0.72,CN,1670050952
199,henties bay,-22.116,14.2845,289.17,82,91,3.03,NA,1670050953
200,east london,-33.0153,27.9116,295.67,49,20,9.77,ZA,1670050737
201,mazsalaca,57.8633,25.0547,262.46,97,96,1.28,LV,1670050953
202,fuyang,32.9,115.8167,280.01,46,100,2.93,CN,1670050953
203,manggar,-2.8833,108.2667,301.53,73,100,2.39,ID,1670050954
204,yeppoon,-23.1333,150.7333,300.03,66,0,7.73,AU,1670050954
205,nome,64.5011,-165.4064,273.24,99,100,2.8,US,1670050954
206,dunn,44.95,-91.8835,266.46,90,100,8.75,US,1670050955
207,kisangani,0.5167,25.2,300.37,67,100,1.33,CD,1670050955
208,malakal,9.5334,31.6605,303.98,22,6,5.4,SS,1670050955
